# At time x allocated y bytes for process z from i to j
At time 4 allocated 256 bytes for process 1 from 0 to 256
At time 6 allocated 128 bytes for process 2 from 256 to 384
At time 7 freed 128 bytes from process 2 from 256 to 384
At time 8 freed 256 bytes from process 1 from 0 to 256
At time 8 allocated 64 bytes for process 3 from 0 to 64
At time 10 freed 64 bytes from process 3 from 0 to 64
At time 12 allocated 256 bytes for process 4 from 0 to 256
At time 14 allocated 128 bytes for process 5 from 256 to 384
At time 17 freed 256 bytes from process 4 from 0 to 256
At time 20 freed 128 bytes from process 5 from 256 to 384
